,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,IND,2019-02-09,IND,201902090IND,14.017,2,8,.250,0,3,.000,0,0,,0,1,1,1,1,0,0,1,4,+6
T.J. Leaf,IND,2019-02-09,IND,201902090IND,8.0,4,4,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,8,-5
Kyle O'Quinn,IND,2019-02-09,IND,201902090IND,2.333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Kemba Walker,CHO,2019-02-09,ATL,201902090ATL,36.95,13,27,.481,9,17,.529,2,2,1.000,1,0,1,7,1,0,3,2,37,+15
Jeremy Lamb,CHO,2019-02-09,ATL,201902090ATL,36.4,8,14,.571,4,7,.571,4,4,1.000,2,4,6,7,3,2,1,1,24,+15
Marvin Williams,CHO,2019-02-09,ATL,201902090ATL,34.85,12,16,.750,3,7,.429,0,0,,0,3,3,0,1,1,0,3,27,+8
Nicolas Batum,CHO,2019-02-09,ATL,201902090ATL,34.617,2,5,.400,2,2,1.000,0,0,,1,3,4,8,2,0,2,2,6,-10
Cody Zeller,CHO,2019-02-09,ATL,201902090ATL,25.983,3,5,.600,0,1,.000,4,6,.667,3,5,8,4,1,1,2,2,10,0
Michael Kidd-Gilchrist,CHO,2019-02-09,ATL,201902090ATL,29.0,5,5,1.000,0,0,,1,2,.500,1,2,3,1,1,1,2,3,11,+16
Miles Bridges,CHO,2019-02-09,ATL,201902090ATL,16.467,3,7,.429,0,2,.000,0,0,,2,3,5,0,2,1,0,1,6,+14
Devonte' Graham,CHO,2019-02-09,ATL,201902090ATL,11.05,1,4,.250,1,4,.250,1,2,.500,0,3,3,1,0,0,0,2,4,-6
Malik Monk,CHO,2019-02-09,ATL,201902090ATL,10.283,1,4,.250,0,2,.000,2,2,1.000,0,2,2,2,1,0,3,0,4,-6
Bismack Biyombo,CHO,2019-02-09,ATL,201902090ATL,4.383,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,-1
Frank Kaminsky,CHO,2019-02-09,ATL,201902090ATL,0.0,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,CHO,2019-02-09,ATL,201902090ATL,0.0,,,,,,,,,,,,,,,,,,,
Willy Hernangómez,CHO,2019-02-09,ATL,201902090ATL,0.0,,,,,,,,,,,,,,,,,,,
John Collins,ATL,2019-02-09,ATL,201902090ATL,35.167,8,12,.667,0,2,.000,5,7,.714,4,1,5,0,1,1,4,5,21,-12
Kevin Huerter,ATL,2019-02-09,ATL,201902090ATL,34.333,7,9,.778,3,3,1.000,0,0,,0,4,4,1,1,0,2,3,17,-13
Trae Young,ATL,2019-02-09,ATL,201902090ATL,28.2,8,15,.533,4,6,.667,0,0,,0,1,1,11,2,0,4,1,20,-10
Dewayne Dedmon,ATL,2019-02-09,ATL,201902090ATL,27.633,5,7,.714,4,6,.667,0,2,.000,0,7,7,3,1,0,0,1,14,-6
Taurean Waller-Prince,ATL,2019-02-09,ATL,201902090ATL,27.0,3,7,.429,1,4,.250,0,0,,1,2,3,2,0,0,4,1,7,-9
Kent Bazemore,ATL,2019-02-09,ATL,201902090ATL,19.9,5,12,.417,1,4,.250,2,2,1.000,0,1,1,1,1,1,3,1,13,+4
Jeremy Lin,ATL,2019-02-09,ATL,201902090ATL,19.8,5,9,.556,1,3,.333,2,2,1.000,0,2,2,4,2,0,1,2,13,+1
DeAndre' Bembry,ATL,2019-02-09,ATL,201902090ATL,14.767,1,5,.200,0,1,.000,0,0,,0,4,4,1,1,0,0,1,2,0
Omari Spellman,ATL,2019-02-09,ATL,201902090ATL,11.85,0,3,.000,0,3,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,-6
Alex Len,ATL,2019-02-09,ATL,201902090ATL,10.583,2,4,.500,0,1,.000,3,4,.750,5,2,7,3,0,1,0,1,7,+7
Vince Carter,ATL,2019-02-09,ATL,201902090ATL,10.45,2,3,.667,0,0,,0,0,,0,1,1,0,1,0,0,2,4,-3
Justin Anderson,ATL,2019-02-09,ATL,201902090ATL,0.3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Kyle Lowry,TOR,2019-02-09,NYK,201902090NYK,33.917,6,10,.600,5,7,.714,5,6,.833,3,1,4,5,2,2,2,4,22,+6
Pascal Siakam,TOR,2019-02-09,NYK,201902090NYK,32.817,3,13,.231,0,3,.000,4,5,.800,2,6,8,2,1,0,0,2,10,+13
Kawhi Leonard,TOR,2019-02-09,NYK,201902090NYK,31.75,4,15,.267,1,5,.200,2,3,.667,0,5,5,6,1,0,2,1,11,+2
Danny Green,TOR,2019-02-09,NYK,201902090NYK,29.633,5,9,.556,4,6,.667,0,0,,1,3,4,0,0,1,0,0,14,+8
Serge Ibaka,TOR,2019-02-09,NYK,201902090NYK,29.2,5,10,.500,0,1,.000,5,6,.833,2,11,13,4,1,0,2,2,15,+2
Fred VanVleet,TOR,2019-02-09,NYK,201902090NYK,19.8,1,5,.200,1,3,.333,2,2,1.000,0,1,1,6,0,0,3,1,5,-7
Marc Gasol,TOR,2019-02-09,NYK,201902090NYK,18.8,3,7,.429,0,0,,1,2,.500,1,5,6,1,2,1,2,1,7,+3
OG Anunoby,TOR,2019-02-09,NYK,201902090NYK,15.85,0,2,.000,0,1,.000,2,2,1.000,0,3,3,0,0,0,1,1,2,0
Norman Powell,TOR,2019-02-09,NYK,201902090NYK,15.583,5,14,.357,3,9,.333,1,1,1.000,0,1,1,3,0,0,0,1,14,+1
Patrick McCaw,TOR,2019-02-09,NYK,201902090NYK,12.65,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,1,1,0,2,4,-3
Chris Boucher,TOR,2019-02-09,NYK,201902090NYK,0.0,,,,,,,,,,,,,,,,,,,
Jordan Loyd,TOR,2019-02-09,NYK,201902090NYK,0.0,,,,,,,,,,,,,,,,,,,
Kevin Knox,NYK,2019-02-09,NYK,201902090NYK,40.15,7,21,.333,4,9,.444,2,2,1.000,2,2,4,2,2,0,3,3,20,-10
Dennis Smith,NYK,2019-02-09,NYK,201902090NYK,30.4,4,17,.235,1,4,.250,4,6,.667,1,3,4,6,3,0,1,3,13,-6
DeAndre Jordan,NYK,2019-02-09,NYK,201902090NYK,25.517,4,8,.500,0,0,,2,6,.333,7,11,18,3,0,1,4,1,10,-10
Mario Hezonja,NYK,2019-02-09,NYK,201902090NYK,25.1,3,6,.500,1,3,.333,0,0,,1,8,9,2,1,0,3,5,7,-7
Damyean Dotson,NYK,2019-02-09,NYK,201902090NYK,19.4,2,9,.222,0,2,.000,0,0,,0,2,2,2,1,0,2,2,4,-2
Kadeem Allen,NYK,2019-02-09,NYK,201902090NYK,27.767,5,11,.455,2,3,.667,2,4,.500,0,4,4,6,2,0,0,4,14,+5
Noah Vonleh,NYK,2019-02-09,NYK,201902090NYK,25.0,4,6,.667,1,1,1.000,0,0,,0,5,5,1,0,0,0,2,9,+2
Allonzo Trier,NYK,2019-02-09,NYK,201902090NYK,24.183,3,7,.429,1,3,.333,0,0,,0,4,4,0,0,0,1,3,7,-2
Mitchell Robinson,NYK,2019-02-09,NYK,201902090NYK,22.483,7,9,.778,0,0,,1,1,1.000,4,3,7,0,0,3,0,3,15,+5
Isaiah Hicks,NYK,2019-02-09,NYK,201902090NYK,0.0,,,,,,,,,,,,,,,,,,,
Luke Kornet,NYK,2019-02-09,NYK,201902090NYK,0.0,,,,,,,,,,,,,,,,,,,
Lance Thomas,NYK,2019-02-09,NYK,201902090NYK,0.0,,,,,,,,,,,,,,,,,,,
Patrick Beverley,LAC,2019-02-09,BOS,201902090BOS,31.217,3,7,.429,2,4,.500,4,4,1.000,1,8,9,7,2,0,2,4,12,+17
Danilo Gallinari,LAC,2019-02-09,BOS,201902090BOS,29.383,5,10,.500,2,6,.333,7,7,1.000,0,10,10,4,0,0,2,1,19,+25
Shai Gilgeous-Alexander,LAC,2019-02-09,BOS,201902090BOS,25.817,5,8,.625,1,2,.500,3,4,.750,1,3,4,5,2,1,5,3,14,+11
Ivica Zubac,LAC,2019-02-09,BOS,201902090BOS,23.133,5,10,.500,0,0,,2,3,.667,1,8,9,0,0,3,2,3,12,+11
Garrett Temple,LAC,2019-02-09,BOS,201902090BOS,19.667,4,8,.500,2,5,.400,1,2,.500,0,1,1,1,0,0,0,1,11,+11
Montrezl Harrell,LAC,2019-02-09,BOS,201902090BOS,28.533,8,13,.615,0,0,,5,6,.833,1,5,6,2,1,1,1,3,21,+4
Lou Williams,LAC,2019-02-09,BOS,201902090BOS,28.283,4,15,.267,1,4,.250,6,10,.600,1,2,3,6,0,1,3,1,15,+4
Landry Shamet,LAC,2019-02-09,BOS,201902090BOS,26.667,5,9,.556,4,7,.571,3,4,.750,1,1,2,3,1,0,0,2,17,+2
JaMychal Green,LAC,2019-02-09,BOS,201902090BOS,14.95,1,2,.500,0,1,.000,0,0,,0,4,4,0,0,0,1,4,2,-18
Jerome Robinson,LAC,2019-02-09,BOS,201902090BOS,7.65,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,4,0,+5
Tyrone Wallace,LAC,2019-02-09,BOS,201902090BOS,4.167,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-12
Sindarius Thornwell,LAC,2019-02-09,BOS,201902090BOS,0.533,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Johnathan Motley,LAC,2019-02-09,BOS,201902090BOS,0.0,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,2019-02-09,BOS,201902090BOS,32.0,3,11,.273,0,3,.000,0,0,,0,7,7,5,1,1,1,1,6,-18
Marcus Morris,BOS,2019-02-09,BOS,201902090BOS,31.1,6,14,.429,1,2,.500,2,2,1.000,1,5,6,1,1,1,0,3,15,-11
Jayson Tatum,BOS,2019-02-09,BOS,201902090BOS,29.35,4,12,.333,1,2,.500,7,10,.700,2,6,8,0,1,0,4,6,16,-12
Marcus Smart,BOS,2019-02-09,BOS,201902090BOS,27.167,1,5,.200,0,2,.000,0,0,,1,2,3,5,1,1,2,3,2,-21
Kyrie Irving,BOS,2019-02-09,BOS,201902090BOS,14.283,4,7,.571,1,1,1.000,5,5,1.000,0,1,1,2,0,0,0,1,14,+15
Terry Rozier,BOS,2019-02-09,BOS,201902090BOS,31.183,6,12,.500,2,6,.333,2,2,1.000,0,5,5,3,2,0,1,3,16,-15
Gordon Hayward,BOS,2019-02-09,BOS,201902090BOS,26.983,6,11,.545,2,3,.667,5,6,.833,0,5,5,3,1,0,3,5,19,+3
Jaylen Brown,BOS,2019-02-09,BOS,201902090BOS,24.05,4,14,.286,0,5,.000,4,6,.667,2,3,5,2,1,0,0,3,12,+5
Daniel Theis,BOS,2019-02-09,BOS,201902090BOS,16.417,4,4,1.000,2,2,1.000,0,0,,2,3,5,0,1,0,1,2,10,+9
Brad Wanamaker,BOS,2019-02-09,BOS,201902090BOS,5.617,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-5
Robert Williams,BOS,2019-02-09,BOS,201902090BOS,1.85,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Guerschon Yabusele,BOS,2019-02-09,BOS,201902090BOS,0.0,,,,,,,,,,,,,,,,,,,
Semi Ojeleye,BOS,2019-02-09,BOS,201902090BOS,0.0,,,,,,,,,,,,,,,,,,,
Bradley Beal,WAS,2019-02-09,CHI,201902090CHI,34.117,13,21,.619,1,3,.333,4,4,1.000,0,2,2,4,4,0,2,2,31,+4
Trevor Ariza,WAS,2019-02-09,CHI,201902090CHI,30.417,8,12,.667,3,7,.429,0,0,,1,3,4,4,1,0,0,1,19,+7
Tomáš Satoranský,WAS,2019-02-09,CHI,201902090CHI,28.833,3,8,.375,0,0,,1,1,1.000,3,4,7,11,0,0,2,5,7,+7
Thomas Bryant,WAS,2019-02-09,CHI,201902090CHI,16.767,5,8,.625,1,2,.500,2,2,1.000,1,1,2,3,0,1,1,3,13,-5
Jeff Green,WAS,2019-02-09,CHI,201902090CHI,9.2,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,0,0,+9
Jabari Parker,WAS,2019-02-09,CHI,201902090CHI,34.5,9,15,.600,0,3,.000,2,2,1.000,0,5,5,6,1,2,4,0,20,+5
Bobby Portis,WAS,2019-02-09,CHI,201902090CHI,29.383,4,11,.364,0,2,.000,2,3,.667,1,11,12,4,0,1,2,4,10,+8
Chasson Randle,WAS,2019-02-09,CHI,201902090CHI,25.433,8,10,.800,4,5,.800,0,0,,0,3,3,1,0,0,1,4,20,+10
Wesley Johnson,WAS,2019-02-09,CHI,201902090CHI,19.95,5,6,.833,3,4,.750,1,2,.500,0,1,1,1,0,1,0,2,14,+11
Jordan McRae,WAS,2019-02-09,CHI,201902090CHI,9.267,0,3,.000,0,0,,0,0,,0,2,2,1,0,1,1,2,0,-5
John Jenkins,WAS,2019-02-09,CHI,201902090CHI,2.133,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Ian Mahinmi,WAS,2019-02-09,CHI,201902090CHI,0.0,,,,,,,,,,,,,,,,,,,
Sam Dekker,WAS,2019-02-09,CHI,201902090CHI,0.0,,,,,,,,,,,,,,,,,,,
Zach LaVine,CHI,2019-02-09,CHI,201902090CHI,35.567,11,17,.647,0,3,.000,4,5,.800,1,3,4,6,1,0,3,1,26,-12
Otto Porter,CHI,2019-02-09,CHI,201902090CHI,34.333,6,15,.400,2,5,.400,3,5,.600,1,1,2,2,2,1,1,1,17,-9
Kris Dunn,CHI,2019-02-09,CHI,201902090CHI,32.55,3,6,.500,0,1,.000,0,0,,1,3,4,8,3,0,4,1,6,-10
Lauri Markkanen,CHI,2019-02-09,CHI,201902090CHI,31.667,9,17,.529,1,6,.167,1,2,.500,3,8,11,4,0,0,1,2,20,-9
Robin Lopez,CHI,2019-02-09,CHI,201902090CHI,18.617,7,10,.700,0,0,,4,5,.800,1,2,3,0,0,2,0,4,18,+3
Wayne Selden,CHI,2019-02-09,CHI,201902090CHI,25.25,5,13,.385,1,2,.500,6,6,1.000,2,2,4,1,1,0,0,1,17,-10
Ryan Arcidiacono,CHI,2019-02-09,CHI,201902090CHI,17.533,1,5,.200,0,2,.000,2,2,1.000,0,2,2,3,0,0,0,2,4,+1
Timothé Luwawu-Cabarrot,CHI,2019-02-09,CHI,201902090CHI,17.0,2,4,.500,1,2,.500,0,0,,1,5,6,1,0,1,2,2,5,0
Shaquille Harrison,CHI,2019-02-09,CHI,201902090CHI,13.55,0,5,.000,0,1,.000,0,0,,0,3,3,2,0,0,0,0,0,-4
Cristiano Felício,CHI,2019-02-09,CHI,201902090CHI,11.783,2,2,1.000,0,0,,1,3,.333,4,1,5,1,0,1,0,1,5,-1
Brandon Sampson,CHI,2019-02-09,CHI,201902090CHI,2.133,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,7,+6
Kenrich Williams,NOP,2019-02-09,MEM,201902090MEM,37.133,4,10,.400,1,6,.167,1,2,.500,6,7,13,7,0,1,0,3,10,-1
Anthony Davis,NOP,2019-02-09,MEM,201902090MEM,33.967,4,8,.500,0,1,.000,6,9,.667,2,14,16,6,2,2,2,4,14,+2
Jrue Holiday,NOP,2019-02-09,MEM,201902090MEM,29.683,7,14,.500,1,2,.500,0,2,.000,3,4,7,5,1,0,2,1,15,+7
Frank Jackson,NOP,2019-02-09,MEM,201902090MEM,26.283,3,12,.250,0,3,.000,0,0,,1,2,3,0,1,0,0,2,6,+11
Darius Miller,NOP,2019-02-09,MEM,201902090MEM,19.6,3,10,.300,2,8,.250,0,0,,0,0,0,2,0,0,0,1,8,+6
Julius Randle,NOP,2019-02-09,MEM,201902090MEM,30.783,7,13,.538,0,3,.000,7,11,.636,3,3,6,2,1,1,4,4,21,-18
Tim Frazier,NOP,2019-02-09,MEM,201902090MEM,21.0,1,3,.333,1,3,.333,2,2,1.000,0,1,1,3,0,0,2,4,5,-14
E'Twaun Moore,NOP,2019-02-09,MEM,201902090MEM,15.85,2,8,.250,1,3,.333,0,0,,1,1,2,0,0,0,3,0,5,-17
Cheick Diallo,NOP,2019-02-09,MEM,201902090MEM,12.683,2,2,1.000,0,0,,0,1,.000,1,2,3,0,0,1,1,2,4,-11
Stanley Johnson,NOP,2019-02-09,MEM,201902090MEM,7.55,0,3,.000,0,2,.000,0,0,,0,1,1,0,1,0,0,1,0,-10
Ian Clark,NOP,2019-02-09,MEM,201902090MEM,5.467,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,0,2,0
Jason Smith,NOP,2019-02-09,MEM,201902090MEM,0.0,,,,,,,,,,,,,,,,,,,
Solomon Hill,NOP,2019-02-09,MEM,201902090MEM,0.0,,,,,,,,,,,,,,,,,,,
Mike Conley,MEM,2019-02-09,MEM,201902090MEM,32.467,3,11,.273,0,6,.000,5,5,1.000,2,4,6,9,0,0,1,2,11,+1
Justin Holiday,MEM,2019-02-09,MEM,201902090MEM,31.05,6,10,.600,3,5,.600,0,0,,1,4,5,3,0,0,2,1,15,-2
Ivan Rabb,MEM,2019-02-09,MEM,201902090MEM,27.783,4,7,.571,0,0,,2,3,.667,1,8,9,3,0,0,0,3,10,+4
Jaren Jackson,MEM,2019-02-09,MEM,201902090MEM,27.067,4,13,.308,2,4,.500,4,5,.800,0,3,3,1,2,1,0,2,14,+5
Avery Bradley,MEM,2019-02-09,MEM,201902090MEM,24.767,3,10,.300,2,4,.500,0,0,,0,1,1,2,1,0,3,3,8,-6
Joakim Noah,MEM,2019-02-09,MEM,201902090MEM,30.283,8,14,.571,0,0,,3,3,1.000,5,9,14,3,0,0,1,4,19,+10
Delon Wright,MEM,2019-02-09,MEM,201902090MEM,23.233,3,7,.429,0,3,.000,1,2,.500,0,1,1,2,1,0,1,2,7,+15
C.J. Miles,MEM,2019-02-09,MEM,201902090MEM,20.717,6,9,.667,1,3,.333,0,0,,0,2,2,2,0,0,0,1,13,+11
Jevon Carter,MEM,2019-02-09,MEM,201902090MEM,15.533,0,4,.000,0,2,.000,0,0,,0,2,2,2,2,0,1,1,0,+8
Bruno Caboclo,MEM,2019-02-09,MEM,201902090MEM,7.1,1,3,.333,0,2,.000,0,0,,1,1,2,0,0,1,1,5,2,-1
Julian Washburn,MEM,2019-02-09,MEM,201902090MEM,0.0,,,,,,,,,,,,,,,,,,,
Tyler Dorsey,MEM,2019-02-09,MEM,201902090MEM,0.0,,,,,,,,,,,,,,,,,,,
Yuta Watanabe,MEM,2019-02-09,MEM,201902090MEM,0.0,,,,,,,,,,,,,,,,,,,
Paul George,OKC,2019-02-09,HOU,201902090HOU,41.267,12,22,.545,6,14,.429,15,18,.833,2,9,11,3,1,0,2,5,45,+16
Russell Westbrook,OKC,2019-02-09,HOU,201902090HOU,38.4,8,21,.381,1,5,.200,4,5,.800,0,12,12,11,2,1,10,3,21,+2
Steven Adams,OKC,2019-02-09,HOU,201902090HOU,38.067,3,6,.500,0,0,,0,0,,3,6,9,0,2,2,2,1,6,+12
Jerami Grant,OKC,2019-02-09,HOU,201902090HOU,35.283,3,9,.333,1,3,.333,1,2,.500,2,6,8,1,2,2,3,2,8,+6
Terrance Ferguson,OKC,2019-02-09,HOU,201902090HOU,34.717,6,9,.667,3,5,.600,0,0,,0,4,4,3,0,0,0,5,15,+16
Dennis Schröder,OKC,2019-02-09,HOU,201902090HOU,22.333,6,13,.462,1,3,.333,4,5,.800,0,0,0,0,0,0,1,2,17,-12
Nerlens Noel,OKC,2019-02-09,HOU,201902090HOU,9.917,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,0,1,2,-9
Deonte Burton,OKC,2019-02-09,HOU,201902090HOU,9.55,0,1,.000,0,1,.000,0,0,,2,1,3,1,0,0,0,3,0,+18
Patrick Patterson,OKC,2019-02-09,HOU,201902090HOU,6.517,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-13
Abdel Nader,OKC,2019-02-09,HOU,201902090HOU,3.95,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,2,0,-11
Raymond Felton,OKC,2019-02-09,HOU,201902090HOU,0.0,,,,,,,,,,,,,,,,,,,
Hamidou Diallo,OKC,2019-02-09,HOU,201902090HOU,0.0,,,,,,,,,,,,,,,,,,,
James Harden,HOU,2019-02-09,HOU,201902090HOU,37.2,11,28,.393,6,16,.375,14,15,.933,0,2,2,1,1,0,5,2,42,-9
P.J. Tucker,HOU,2019-02-09,HOU,201902090HOU,35.833,0,3,.000,0,1,.000,0,0,,3,4,7,2,1,2,0,4,0,-7
Chris Paul,HOU,2019-02-09,HOU,201902090HOU,34.917,5,12,.417,2,5,.400,6,7,.857,1,9,10,9,2,0,2,4,18,+10
Eric Gordon,HOU,2019-02-09,HOU,201902090HOU,32.133,5,14,.357,3,10,.300,0,0,,0,0,0,2,1,3,1,4,13,-7
Kenneth Faried,HOU,2019-02-09,HOU,201902090HOU,30.717,8,11,.727,0,0,,1,5,.200,3,9,12,2,1,0,3,3,17,-11
Iman Shumpert,HOU,2019-02-09,HOU,201902090HOU,24.15,1,5,.200,1,5,.200,0,0,,0,4,4,0,1,1,1,4,3,-2
Nenê Hilário,HOU,2019-02-09,HOU,201902090HOU,17.233,1,2,.500,0,0,,0,0,,0,3,3,1,3,1,0,3,2,+8
Austin Rivers,HOU,2019-02-09,HOU,201902090HOU,15.65,3,6,.500,3,5,.600,1,2,.500,0,1,1,1,0,0,0,1,10,-9
Gerald Green,HOU,2019-02-09,HOU,201902090HOU,12.167,3,5,.600,1,3,.333,0,1,.000,0,0,0,0,0,0,0,1,7,+2
Vince Edwards,HOU,2019-02-09,HOU,201902090HOU,0.0,,,,,,,,,,,,,,,,,,,
Clint Capela,HOU,2019-02-09,HOU,201902090HOU,0.0,,,,,,,,,,,,,,,,,,,
Evan Fournier,ORL,2019-02-09,MIL,201902090MIL,32.033,3,13,.231,1,5,.200,0,0,,1,4,5,5,1,0,1,3,7,+21
Jonathan Isaac,ORL,2019-02-09,MIL,201902090MIL,31.0,7,12,.583,3,6,.500,0,0,,1,5,6,0,0,2,2,1,17,+16
Aaron Gordon,ORL,2019-02-09,MIL,201902090MIL,29.133,6,15,.400,0,1,.000,2,3,.667,1,5,6,0,1,0,2,4,14,+6
Nikola Vučević,ORL,2019-02-09,MIL,201902090MIL,26.267,7,16,.438,1,4,.250,0,0,,3,14,17,5,0,1,1,0,15,+11
D.J. Augustin,ORL,2019-02-09,MIL,201902090MIL,20.4,4,7,.571,0,1,.000,1,1,1.000,0,2,2,5,0,0,1,3,9,+3
Terrence Ross,ORL,2019-02-09,MIL,201902090MIL,24.967,6,12,.500,3,5,.600,0,0,,0,4,4,1,0,1,0,1,15,+10
Isaiah Briscoe,ORL,2019-02-09,MIL,201902090MIL,24.5,4,5,.800,1,1,1.000,0,0,,0,3,3,7,0,0,2,2,9,+16
Wesley Iwundu,ORL,2019-02-09,MIL,201902090MIL,20.667,1,5,.200,1,3,.333,0,0,,0,5,5,2,2,0,0,4,3,+5
Khem Birch,ORL,2019-02-09,MIL,201902090MIL,18.633,2,2,1.000,0,0,,2,2,1.000,2,3,5,2,0,4,2,1,6,+8
Melvin Frazier,ORL,2019-02-09,MIL,201902090MIL,3.1,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,6,+1
Jerian Grant,ORL,2019-02-09,MIL,201902090MIL,3.1,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,2,+1
Jarell Martin,ORL,2019-02-09,MIL,201902090MIL,3.1,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
Amile Jefferson,ORL,2019-02-09,MIL,201902090MIL,3.1,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,1,0,+1
Khris Middleton,MIL,2019-02-09,MIL,201902090MIL,32.267,4,17,.235,0,4,.000,3,3,1.000,2,10,12,4,1,0,1,2,11,-16
Eric Bledsoe,MIL,2019-02-09,MIL,201902090MIL,29.217,7,13,.538,2,4,.500,3,6,.500,2,9,11,5,0,0,1,4,19,-14
Brook Lopez,MIL,2019-02-09,MIL,201902090MIL,26.033,4,12,.333,0,6,.000,1,1,1.000,0,5,5,0,2,3,1,3,9,-18
Malcolm Brogdon,MIL,2019-02-09,MIL,201902090MIL,23.55,4,18,.222,0,4,.000,6,6,1.000,2,2,4,2,0,1,3,2,14,+3
Tony Snell,MIL,2019-02-09,MIL,201902090MIL,19.817,3,5,.600,0,0,,0,0,,0,0,0,1,1,2,0,0,6,-13
D.J. Wilson,MIL,2019-02-09,MIL,201902090MIL,29.267,2,8,.250,0,5,.000,0,0,,1,4,5,1,1,0,1,0,4,-7
Ersan İlyasova,MIL,2019-02-09,MIL,201902090MIL,25.333,1,5,.200,0,2,.000,0,0,,4,3,7,1,0,1,1,4,2,-9
Pat Connaughton,MIL,2019-02-09,MIL,201902090MIL,17.3,3,7,.429,1,5,.200,0,0,,0,1,1,0,0,0,0,1,7,-11
George Hill,MIL,2019-02-09,MIL,201902090MIL,14.35,2,5,.400,2,2,1.000,0,0,,1,0,1,1,0,1,0,0,6,-6
Sterling Brown,MIL,2019-02-09,MIL,201902090MIL,14.0,0,3,.000,0,2,.000,0,0,,0,3,3,2,0,0,2,0,0,-9
Trevon Duval,MIL,2019-02-09,MIL,201902090MIL,4.433,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,0
Christian Wood,MIL,2019-02-09,MIL,201902090MIL,4.433,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,0
Nikola Mirotić,MIL,2019-02-09,MIL,201902090MIL,0.0,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,2019-02-10,DAL,201902100DAL,36.317,10,23,.435,6,11,.545,4,4,1.000,0,3,3,5,2,0,5,1,30,+2
CJ McCollum,POR,2019-02-10,DAL,201902100DAL,33.65,6,17,.353,0,5,.000,2,2,1.000,2,4,6,5,0,0,2,2,14,-19
Maurice Harkless,POR,2019-02-10,DAL,201902100DAL,23.533,2,7,.286,0,2,.000,1,2,.500,3,2,5,0,1,1,1,3,5,-14
Al-Farouq Aminu,POR,2019-02-10,DAL,201902100DAL,22.033,1,3,.333,0,1,.000,0,0,,0,5,5,3,0,0,2,0,2,-5
Jusuf Nurkić,POR,2019-02-10,DAL,201902100DAL,21.317,9,11,.818,0,0,,0,0,,4,6,10,1,0,1,2,6,18,-14
Jake Layman,POR,2019-02-10,DAL,201902100DAL,25.967,4,7,.571,1,2,.500,0,0,,0,1,1,1,0,0,2,3,9,+4
Rodney Hood,POR,2019-02-10,DAL,201902100DAL,24.467,3,7,.429,2,5,.400,0,0,,0,1,1,1,1,0,0,4,8,+13
Zach Collins,POR,2019-02-10,DAL,201902100DAL,18.217,3,3,1.000,0,0,,1,4,.250,3,6,9,1,2,2,2,5,7,+11
Evan Turner,POR,2019-02-10,DAL,201902100DAL,15.45,1,2,.500,0,1,.000,0,0,,0,8,8,7,0,0,2,0,2,+16
Seth Curry,POR,2019-02-10,DAL,201902100DAL,10.583,2,5,.400,0,2,.000,0,0,,0,0,0,0,1,0,1,1,4,-1
Meyers Leonard,POR,2019-02-10,DAL,201902100DAL,8.467,1,1,1.000,0,0,,0,2,.000,0,0,0,0,0,0,0,1,2,+2
Skal Labissière,POR,2019-02-10,DAL,201902100DAL,0.0,,,,,,,,,,,,,,,,,,,
Anfernee Simons,POR,2019-02-10,DAL,201902100DAL,0.0,,,,,,,,,,,,,,,,,,,
Luka Dončić,DAL,2019-02-10,DAL,201902100DAL,37.5,9,19,.474,4,9,.444,6,8,.750,0,9,9,6,0,1,3,3,28,-4
