,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Doug McDermott,IND,2018-10-17,IND,201810170IND,24.4,5,9,.556,1,5,.200,1,2,.500,0,1,1,1,1,0,0,2,12,+20
Tyreke Evans,IND,2018-10-17,IND,201810170IND,23.567,6,12,.500,1,5,.200,1,2,.500,0,4,4,6,0,0,1,1,14,+23
Aaron Holiday,IND,2018-10-17,IND,201810170IND,3.967,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,-1
Kyle O'Quinn,IND,2018-10-17,IND,201810170IND,3.967,0,0,,0,0,,2,2,1.000,1,2,3,3,0,0,0,2,2,-1
Edmond Sumner,IND,2018-10-17,IND,201810170IND,3.85,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-1
T.J. Leaf,IND,2018-10-17,IND,201810170IND,0.967,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Josh Richardson,MIA,2018-10-17,ORL,201810170ORL,37.583,8,21,.381,2,10,.200,3,3,1.000,1,4,5,3,1,1,3,3,21,-5
Hassan Whiteside,MIA,2018-10-17,ORL,201810170ORL,33.583,6,15,.400,0,1,.000,0,1,.000,4,14,18,0,1,2,1,2,12,+4
Goran Dragić,MIA,2018-10-17,ORL,201810170ORL,32.9,9,14,.643,3,7,.429,5,7,.714,0,4,4,4,0,1,3,5,26,+20
Rodney McGruder,MIA,2018-10-17,ORL,201810170ORL,31.5,2,9,.222,2,5,.400,2,3,.667,0,3,3,3,0,1,1,3,8,+4
Derrick Jones,MIA,2018-10-17,ORL,201810170ORL,17.217,2,5,.400,1,2,.500,0,0,,1,1,2,2,0,0,2,6,5,+4
Dwyane Wade,MIA,2018-10-17,ORL,201810170ORL,26.033,3,13,.231,0,1,.000,3,4,.750,5,6,11,2,0,0,4,2,9,-7
Tyler Johnson,MIA,2018-10-17,ORL,201810170ORL,23.75,3,7,.429,1,3,.333,0,0,,0,0,0,0,1,0,0,1,7,-13
Bam Adebayo,MIA,2018-10-17,ORL,201810170ORL,21.983,4,9,.444,0,1,.000,1,2,.500,2,6,8,2,1,0,1,3,9,-6
Kelly Olynyk,MIA,2018-10-17,ORL,201810170ORL,15.417,1,4,.250,0,3,.000,2,2,1.000,1,0,1,0,0,0,1,3,4,-16
Udonis Haslem,MIA,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Yante Maten,MIA,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Wayne Ellington,MIA,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Duncan Robinson,MIA,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Aaron Gordon,ORL,2018-10-17,ORL,201810170ORL,38.3,9,18,.500,4,5,.800,4,6,.667,4,12,16,2,0,0,4,3,26,+9
Nikola Vučević,ORL,2018-10-17,ORL,201810170ORL,28.1,4,12,.333,0,0,,4,5,.800,2,6,8,4,1,0,4,2,12,-17
Evan Fournier,ORL,2018-10-17,ORL,201810170ORL,23.533,5,15,.333,0,5,.000,3,6,.500,0,2,2,5,1,0,1,4,13,-14
D.J. Augustin,ORL,2018-10-17,ORL,201810170ORL,22.267,4,10,.400,1,2,.500,2,2,1.000,0,1,1,2,1,0,0,1,11,-8
Jonathan Isaac,ORL,2018-10-17,ORL,201810170ORL,18.133,2,4,.500,1,1,1.000,1,2,.500,2,4,6,1,0,0,1,4,6,-7
Jonathon Simmons,ORL,2018-10-17,ORL,201810170ORL,33.433,4,11,.364,0,4,.000,4,6,.667,2,3,5,1,0,1,0,4,12,+12
Jerian Grant,ORL,2018-10-17,ORL,201810170ORL,25.7,3,7,.429,0,2,.000,1,2,.500,0,2,2,1,2,0,1,2,7,+11
Terrence Ross,ORL,2018-10-17,ORL,201810170ORL,25.533,2,9,.222,0,4,.000,0,0,,0,4,4,4,2,4,1,4,4,+16
Mohamed Bamba,ORL,2018-10-17,ORL,201810170ORL,24.967,6,8,.750,1,2,.500,0,2,.000,4,3,7,0,0,2,0,1,13,+13
Khem Birch,ORL,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Wesley Iwundu,ORL,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Jarell Martin,ORL,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Isaiah Briscoe,ORL,2018-10-17,ORL,201810170ORL,0.0,,,,,,,,,,,,,,,,,,,
Trae Young,ATL,2018-10-17,NYK,201810170NYK,33.133,5,14,.357,1,5,.200,3,4,.750,0,6,6,5,0,0,4,4,14,-20
Taurean Waller-Prince,ATL,2018-10-17,NYK,201810170NYK,32.317,7,15,.467,3,7,.429,4,4,1.000,0,6,6,6,0,0,6,4,21,-23
Kent Bazemore,ATL,2018-10-17,NYK,201810170NYK,30.267,6,12,.500,2,6,.333,0,0,,2,4,6,0,2,1,2,3,14,0
Vince Carter,ATL,2018-10-17,NYK,201810170NYK,23.967,4,9,.444,2,6,.333,2,2,1.000,0,2,2,0,0,0,2,5,12,+7
Alex Len,ATL,2018-10-17,NYK,201810170NYK,21.433,3,6,.500,0,2,.000,1,2,.500,2,2,4,2,0,1,3,4,7,-14
DeAndre' Bembry,ATL,2018-10-17,NYK,201810170NYK,23.317,1,4,.250,0,0,,0,0,,0,4,4,4,2,0,2,1,2,-12
Alex Poythress,ATL,2018-10-17,NYK,201810170NYK,20.717,4,8,.500,1,3,.333,0,1,.000,1,1,2,0,1,0,3,4,9,-21
Tyler Dorsey,ATL,2018-10-17,NYK,201810170NYK,14.6,3,8,.375,0,2,.000,0,0,,0,3,3,0,0,0,0,2,6,-12
Jeremy Lin,ATL,2018-10-17,NYK,201810170NYK,13.7,3,6,.500,0,2,.000,2,2,1.000,0,5,5,1,1,0,2,0,8,-5
Miles Plumlee,ATL,2018-10-17,NYK,201810170NYK,9.367,2,2,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,2,7,-5
Omari Spellman,ATL,2018-10-17,NYK,201810170NYK,8.317,3,4,.750,1,2,.500,0,0,,1,2,3,0,1,1,0,1,7,+2
Kevin Huerter,ATL,2018-10-17,NYK,201810170NYK,4.583,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,+4
Jaylen Adams,ATL,2018-10-17,NYK,201810170NYK,4.283,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+4
Frank Ntilikina,NYK,2018-10-17,NYK,201810170NYK,33.633,2,7,.286,1,2,.500,0,0,,0,5,5,1,3,1,1,1,5,-2
Tim Hardaway,NYK,2018-10-17,NYK,201810170NYK,28.85,10,22,.455,3,9,.333,8,8,1.000,1,5,6,5,2,0,0,2,31,+14
Enes Kanter,NYK,2018-10-17,NYK,201810170NYK,27.2,5,9,.556,0,0,,6,7,.857,3,8,11,3,1,1,1,2,16,+7
Trey Burke,NYK,2018-10-17,NYK,201810170NYK,20.567,6,11,.545,2,3,.667,1,2,.500,1,2,3,4,0,0,2,2,15,+14
Lance Thomas,NYK,2018-10-17,NYK,201810170NYK,15.5,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,1,1,4,3,+13
Ron Baker,NYK,2018-10-17,NYK,201810170NYK,27.433,0,3,.000,0,3,.000,2,2,1.000,0,4,4,4,1,0,2,4,2,+5
Allonzo Trier,NYK,2018-10-17,NYK,201810170NYK,26.283,5,9,.556,1,3,.333,4,4,1.000,0,4,4,0,0,2,3,0,15,+9
Kevin Knox,NYK,2018-10-17,NYK,201810170NYK,23.633,4,16,.250,1,5,.200,1,3,.333,0,0,0,0,2,1,2,2,10,+1
Mario Hezonja,NYK,2018-10-17,NYK,201810170NYK,19.233,6,14,.429,3,7,.429,0,1,.000,0,3,3,1,3,0,3,5,15,+14
